headline,text,high_label,label
Delo says US has become revolutionary state,"In yet another version of American reversed reality, the American working class defends the so-called American dream. Trump, a millionaire accused of a number of offences, including that he paid his alleged lover for silence during his election campaign, is paradoxically the only hope of a great part of the American working class for the return of the country's greatness, Delo says in its front-page commentary All American Revolutions.

""Many legal experts claim the allegations are shaky, but it is not just about Trump, but also about different visions of the US society: an equally big part of the left-leaning electorate sees the former president as the biggest threat to US dignity.

""The situation is so acute that, even before the indictment of Trump, there were calls for the US to be divided into red and blue parts, the Republican countryside versus the Democratic big cities on the ocean shores. Despite the fact that President Abraham Lincoln, in his day, launched a bloody civil war because of the threat of secession of the slave-holding states.""

Meanwhile, another American revolution is taking place before the eyes of the world, this time for greater justice for the oppressed racial, sexual and other groups in society. As the symbols of American greatness of past decades and even centuries melt away in the reckoning with the supposed dominance of white men, the paper wonders whether the instigators of new social revolutions dare to claim that their USA will be richer and stronger.","unrest, conflicts and war","unrest, conflicts and war"
Večer wonders whether health reform will withstand pressure,"Healthcare has been the breaking point of not only many ministers but also of many governments. So some say that by supporting the health reform PM Robert Golob is risking his job if not his political career.

However, it is clear that a reform is not possible without the support of both the prime minister and the finance minister.

Interestingly, the most challenging decisions are being postponed to 2024 and 2025, a period just before the next election, the paper says.

Is this calculation the reason why the coalition Left has agreed to have the supplementary abolished this late? Is this the tactics for a new political victory or is it inevitable to take it one step at a time if the system is to be protected against a collapse?

The 120-page document Minister Danijel Bešič Loredan presented sounds encouraging. Even though it mainly reviews the current situation and offers but a few concrete ideas.

But the main question is whether the government will withstand the much talked about pressure within healthcare. It is not irrelevant that the healthcare budget has never been bigger.

Even if the corruptive leeches that thrive in the murky waters, which the minister says will be gone once the system is well regulated, are put aside, the path to reform will entail a fight between the local and national authorities - municipalities and the government, Večer says under the headline Grounds for Reform.",politics,politics
"PM says govt would not give up in ""liberating"" RTV Slovenija","The answer came after Hoivik accused Golob of wanting to take over the public broadcaster but failing to do it as fast as he wanted to.

He also accused the prime minister of exerting pressure on the Constitutional Court, which is deliberating on the government's bill that would bring significant changes to RTV Slovenija management.

Because this has not borne fruit, Golob set out to ""liberate RTV Slovenija of programme councillors he cannot stand,"" Hoivik said.

""This would have been funny if it weren't tragic,"" Golob responded. He said that liberating the public broadcaster from the claws of politics was his main promise before last year's election.

""Just like I don't want RTV Slovenija to be the mouthpiece of a right-leaning party, I also don't want it to be a mouthpiece for the Freedom Movement,"" Golob said.

He noted that the amendments to the RTV Slovenija legislation had received 63% support at the referendum last year. This decision has not yet been implemented due to the failures of the rule of law, said Golob.

He called on the Constitutional Court to make a decision fast. ""I'm not calling for a specific decision, just that it should be made.""",politics,politics
Govt to abolish flood solidarity contribution (adds),"The government discussed today changes to the act on flood emergency measures and the act on reconstruction and development. The former is being amended to speed up residential reconstruction prepayments.

These are planned for owners who will not have to rebuild their homes. The prepayment will cover 20% of the damage estimate reported via the special-purpose Ajda application.

This will apply to buildings for which damage estimate exceeds EUR 6000 and where at least one person was in official residence at the end of July, said minister.

Meanwhile, people who will have to rebuild their homes or build new ones in other locations will be eligible to funds through a different procedure, Infrastructure Minister Alenka Bratušek said at the press conference.

In such cases, prepayments will be paid out automatically by the Financial Administration after a home will be declared unsafe for residence by experts, Bratušek said. She believes the prepayment scheme will not exceed EUR 50 million.

The changes also abolish the mandatory solidarity contribution, said Boštjančič, adding this would be partially covered by a temporary increase in corporate income tax, which is to be included in the act on reconstruction and development. The government intends to raise the corporate income tax from 19% to 22% for a period of five years.

However, voluntary working Saturdays remain in place. Workers' pay will go into the budget for flood repair, while employers will not have to pay social contributions and tax for that day.

The changes to the act on flood emergency measures also regulate the obligation of the state to fund the management of polluted soil created by the floods and landslides by 1 July 2024 at the latest.

The government also changed provisions on the compensation of cost for those who had to relocate. The compensation will depend on the number of members in a household and will range from EUR 150 to EUR 250 a month.

The changes also entail simplification of administrative procedures and a loan guarantee scheme, as well as a variety of measures for businesses and municipalities, among other things, according to the finance minister.

The changes will be sent to parliament on Friday, while the act on reconstruction and development will be sent to social partners and parliamentary parties on the same day as well.",disaster and accident,disaster and accident
Slovenian artist warns of climate change with Vienna Ringturm project,"The picture on the monumental cloth depicts icebergs carved into the summertime setting and a group of bathers who have gathered below to enjoy the magic of the coastal scenery, said Wiener Städtische, the insurance company headquartered in the landmark building.

The 4,000 square metre artistic covering is made of a total of 30 printed netting sheets, each around 3 metres wide and up to 63 metres long. The installation will be up all summer.

""I want my picture to highlight nature's inherent potential for change. Like the people in my picture, all of us are only tiny fragments of a larger context. Wandering Icebergs have become a symbol of climate change.

""To me, they also represent just how unpredictable events can be - at this particular moment on the beach, it's not entirely clear how the day will turn out for the bathers,"" the 49-year-old, who works and lives in Berlin, said of her work.

Born in Nova Gorica, western Slovenia, Bućan is a freelance photographer and a mentor at the Academy of Fine Arts and Design in Ljubljana. She graduated from the Royal Academy of Art in the Hague in 2010 and has since been focusing on depicting the relationship between people and nature in her work, as well as the status of women in society.

Her work has been displayed in Slovenia and abroad, including at the Kunsthaus in Vienna, the Lentos Kunstmuseum in Linz, the Benaki Museum in Greece, the Lishui and Cafa art museums in China, and the Banjaluka Museum of Contemporary Art in Bosnia-Herzegovina.

Many renowned Austrian artists have given the Ringturm a makeover over the years, including Gottfried Helnweina and Arnulfa Rainer. Since 2012, Eastern European artists from Bulgaria, the Czech Republic, Croatia, Hungary, Slovakia and Serbia have also taken part in the project.","arts, culture and entertainment","arts, culture and entertainment"
Voice of the People unhappy with coalition party leaders (adds),"The group held a similar pre-election discussion in April 2022, where all three presidents of what are now the coalition parties were in attendance, so it expected them to attend today's post-election discussion as well.

Voice of the People wanted the coalition leaders to express their commitments directly to the people in a live, open and public space, so that people can ask them questions directly.

To show its disappointment, Voice of the People has written an open letter to Freedom Movement leader and Prime Minister Robert Golob, Social Democrats (SD) head Tanja Fajon and leader of the Left Luka Mesec.

The letter states that the three officials changed their minds about attending the meeting ""at the last minute"" and decided that the deputy group leaders would attend instead.

The letter reads that a meeting with the deputy group leaders is welcome, ""but it cannot be a substitute for a meeting"" with Golob, Fajon and Mesec, who made certain commitments to voters in their pre-election debates.

Voice of the People also pointed out that this post-election discussion would be important in creating a continuous dialogue between the people and their government, which is an essential part of the democratic process.

While the group is now inviting the coalition leaders to a new discussion on 20 September, the coalition parties rejected the accusations, saying they remained committed to dialogue with civil society.

The Freedom Movement said that the key to successful cooperation was mutual respect, understanding and constructive attitude, as the two junior coalition parties underlined that they strived to seek solutions acceptable for everybody and benefiting as many as possible.

The ruling party told the STA that it had received the invitation at the beginning of the month without any prior coordination regarding the date, which would be welcome given that the prime minister had his schedule booked for months in advance. The same expectation of coordination applies to heads of the other two coalition parties, the Freedom Movement added.

The SocDems wrote that the proposed date coincided with a planned visit by Fajon, who is foreign minister, to South Korea. Moreover, the Left stressed it regularly participated in various discussions organised by civil society.",politics,politics
Weather: Mostly sunny,"More sunshine is expected on Tuesday but morning fog will linger in low-lying areas. Some clouds will roll in in the afternoon. A south-westerly wind will blow in western and central Slovenia.

Friday will start out sunny in the east, while it will be mostly cloudy elsewhere. Clouds will cover the skies in the afternoon and the south-westerly wind will continue to blow.",weather,weather
Anti-graft watchdog probes ex-minister Vizjak over public funding,"The Commission for the Prevention of Corruption (KPK) said on Friday that the case related to the placement of a state-funded measure in the Climate Change Fund's spending programme for 2022-23.

In 2021 the KPK completed a procedure related to suspected conflict of interest regarding the former minister in the Janez Janša government (2020-2022) in which no violations of the Integrity and Prevention of Corruption Act had been found.

However, a preliminary investigation was subsequently initiated because the watchdog received additional information in a November 2021 report which alleged various irregularities in the allocation of funds for the Mokrice hydro power plant from the Climate Change Fund.

The anti-graft watchdog also obtained extensive documentation from the relevant ministries and explanations from the officials who participated in decision-making at the Climate Change Fund.

It said that an investigation had been initiated against Vizjak in October due to the perceived suspicion of breach of integrity in the placement of the state-funded measure, called Promotion, in the fund's spending programme for 2022-23.

The KPK also looked at Vizjak's alleged influence regarding an increase in funding for the Mokrice project, and the suspicion of corruption in the issuance of the consent of the Fisheries Research Institute for the construction of the hydro power plant.

Based on the available evidence, the commission could not confirm violations of the Integrity and Prevention of Corruption Act, so the procedure has been stopped.

However, the findings will be handed over to the police due to perceived suspicion that a criminal act has been committed.

Uroš Brežan, who was until recently the natural resources and spatial planning minister, last October ordered an internal audit of the operation of the fund, with the final results proving to be incriminating for his predecessor Vizjak.

The newspaper Dnevnik obtained the unofficial results of the audit to report that Vizjak's team at the ministry had channelled money from the Climate Change Fund to HESS, where Vizjak worked before taking over at the ministry in 2020.

One of the examples of the channelling of funds is said to be the Promotion measure, under which HESS, which manages and builds hydro power plants on the lower course of the Sava River, was allocated EUR 1.5 million.

According to Dnevnik, the auditors found out that the measure had not been devised by the ministry, but rather by HESS.","crime, law and justice","crime, law and justice"
Weather: Mostly sunny,"Moderately to mostly cloudy weather is forecast for Friday and Saturday. Sun may shine through the clouds in the northern and eastern parts of the country.

A south-westerly wind will blow. It will continue to be relatively warm.",weather,weather
"News roundup - Wednesday, 20 September","<b>Pirc Musar meets Zelensky in New York</b>

NEW YORK, US - President Nataša Pirc Musar met Ukrainian President Volodymyr Zelensky on the sidelines of the 78th session of the UN General Assembly in New York on Monday. She assured him that Slovenia stood firmly by Ukraine, her office said. Slovenia's message is firm and clear: ""We must stay united in the protection of international law. We firmly stand by Ukraine!"" Pirc Musar said as she met Zelensky.

<b>MPs pass bill to grant amnesty for breach of Covid rules</b>

LJUBLJANA - The National Assembly passed a bill to grant amnesty for fines people received for breach of Covid rules during the pandemic. The bill provides for the reimbursement of fines imposed in proceedings initiated during the previous government's term on grounds that were later found to be unconstitutional. Justice Minister Dominika Švarc Pipan said that the legislation was aimed at regaining people's trust in the rule of law, and the coalition considers this a step to right wrongs. On the other hand, the largest opposition party believes that the law will only lead to new injustices under the guise of addressing injustice.

<b>MPs pass changes to Animal Protection Act</b>

LJUBLJANA - The National Assembly passed changes to the Animal Protection Act, which the coalition believes bring much-needed solutions to fight animal abuse, while the opposition points to numerous issues raised, among others, by farmers, veterinarians and the parliament's legal services. While some of the provisions have been changed in the legislative procedure, the most controversial one remained in place: the introduction of special ""qualified reporting persons"" that can check on animal welfare on farms.

<b>Parliament cuts state coverage of religious workers' contributions</b>

LJUBLJANA - The National Assembly passed changes to the Religious Freedom Act that lowers the state coverage of social contributions for religious workers from 100% to 60%. While the coalition insisted that the changes addressed an unlawful situation, the opposition finds the changes amount to an inadmissible encroachment on the religious workers' rights. The changes increase the share of mandatory state coverage from 48% to 60% of average pay, but at the same time they abolish a decree adopted by the previous government, under which the state covers social contributions for religious workers in their entirety, in effect lowering the share from 100% to 60%.

<b>MLM foundry needs new owner, economy minister says</b>

MARIBOR - The state-owned foundry MLM needs a new owner, Economy Minister Matjaž Han said after visiting the Maribor-based company, a day after it was reported that yet another attempt at a sale had failed. The troubled company, which has received millions in over a decade, cannot count on any more state aid at this point. The minister also said that the SSH custodian of state assets remained open to any potential strategic partner for the company that has received over EUR 13.3 million in various forms of state aid since 2009.

<b>Slovenia confirms humanitarian aid for Morocco and Libya</b>

LJUBLJANA - Slovenia will donate EUR 400,000 to Morocco and EUR 600,000 to Libya, which were respectively hit by an earthquake and heavy flooding, the Government Communications Office said. The aid for Morocco will be partially channelled through the International Red Cross and Red Crescent and partially through the Slovenian Caritas, while for Libya, the contribution will be transferred to the United Nations Office for the Coordination of Humanitarian Affairs.

<b>Slovenia among interveners in Ukraine v. Russia case before ICJ</b>

THE HAGUE, the Netherlands - Slovenia is participating in the oral hearing in the proceedings before the International Court of Justice (ICJ) in the case Ukraine v. Russia as one of the 32 interveners. This places Slovenia ""in the circle of countries that advocate respect for international law and accept international obligations"", the Foreign Ministry said. Slovenia is represented by Marko Rakovec, the head of the Directorate for International Law and Protection of Interests, who noted the integrity of the operation of the ICJ, the fulfilment of contractual obligations in good faith and respect for the importance of the Genocide Convention.

<b>Fajon meets IAEA boss, Zelensky on margins of General Assembly session</b>

NEW YORK, US - Foreign Minister Tanja Fajon met a number of politicians on the sidelines of the UN General Assembly in New York, including Ukrainian President Volodymyr Zelensky, telling him that Slovenia remains firmly committed to supporting Ukraine. She also met Rafael Grossi, director general of the International Atomic Energy Agency (IAEA). Grossi welcomed Slovenia's willingness to engage further on nuclear security issues in its role as a non-permanent member of the UN Security Council, the Foreign Ministry said.

<b>Changes passed to depoliticise agriculture and forestry chamber</b>

LJUBLJANA - The National Assembly passed changes to the Chamber of Agriculture and Forestry Act which the initiators, a group of coalition MPs, claim would reduce the political influence in the operation of the chamber. The gist of the changes is that members of the bodies of political parties at the national level, MEPs, officials in the European Commission and the European Council, among others, cannot be candidates for members of bodies of the Chamber of Agriculture and Forestry in the next elections in 2024.

<b>Opposition MP involved in conflict of interest for years, says report</b>

LJUBLJANA - Danijel Krivec, an MP for the largest opposition party, was in breach of incompatibility of dual offices for years before resigning as a council member of a municipalities-founded tourism organisation in the summer when the anti-graft watchdog opened proceedings against him, the newspaper Dnevnik reported. At the moment, the watchdog is considering a complaint against Krivec in connection with the work of Bovec municipal commissions, but it said it could not provide any further details.

<b>Steklarna Hrastnik glassworks named Exporter of the Year</b>

BRDO PRI KRANJU - Steklarna Hrastnik glassworks won the title of Exporter of the Year at the 10th Conference of Slovenian Exporters, hosted by the newspaper Finance. The glassworks recorded an exceptional growth in sales and profitability, the judging panel said. The glassworks employing more than 600 people saw sales go up by 75% in the last two years, recording EUR 99 million in sales revenue in 2022. A further 20% growth is planned this year. In the last six years, the company invested more than EUR 93 million in modernisation.

<b>Vzajemna staff concerned about their future</b>

LJUBLJANA - The employees of the mutual health insurer Vzajemna called for a bill to transform the company into a public company after abolition of the top-up health insurance scheme to be withdrawn. The transformation has already begun, and the adoption of the bill would pose a direct threat to the employees, the staff's representatives said. MPs are due to discuss the bill on Thursday after the government endorsed it on 20 July.

<b>Spectrum auction for mobile private networks coming</b>

LJUBLJANA - Slovenia will shortly launch an auction of a spectrum in the 2300 Mhz and 3600 Mhz bands designed for mobile private networks. Smart companies and smart cities are the primary potential users. Companies, local communities and others will be able to use the spectrum to create high-quality mobile private networks with low latency, which will facilitate the transformation of industry and digitalisation of local communities, the Agency for Telecommunication Networks and Services said.

<b>Posavje police strive to intercept migrants right at border</b>

DOBOVA - Part of the police's roadmap to tackle a surge in illegal border crossings is to intercept migrants right at the border with Croatia in Posavje, an area in eastern Slovenia where the increase has been tangible. Ever since police presence there was boosted a few weeks ago, the situation has been improving. Intercepting migrants in the immediate vicinity of the border ensures that they do not enter nearby villages and cause tensions and concerns among locals, Bojan Tomc from the Novo Mesto Police Department said.

<b>Military staff numbers growing gradually</b>

LJUBLJANA - The Slovenian Armed Forces are gradually alleviating the shortage of staff, with the number of new hires since January already exceeding that of the entire 2022, the Defence Ministry said. Last year, 186 new force members were hired, while this year the number has already reached 196, while another hundred candidates are in the hiring process. Among those hired were 17 people who only have primary education, which has only become possible recently as part of the efforts to make the military career more attractive.

<b>Two substitute Freedom Movement MPs appointed</b>

LJUBLJANA - After Freedom Movement's MPs Dejan Zavec and Martin Marzidovšek announced their resignation as the ruling party's MPs last week, the National Assembly confirmed at its regular session Dejan Süč and Jurij Lep as substitutes to take their seats in parliament. Zavec said he was resigning due to health reasons and Marzidovšek wants to take on new professional challenges in AI. Both outgoing MPs denied that they were leaving because they did not feel comfortable in the role of MPs.

<b>Drago Jančar becomes first Slovenian to win Prozart Award</b>

SKOPJE, North Macedonia - Slovenian author Drago Jančar won the Prozart Award at the 11th international literary festival Pro-Za Balkan in Skopje, North Macedonia. Jančar is an author with a sharp sense for modern narration and the skill to write original fiction in the Slovenian and Balkan literary environments. He is one of the most prominent Slovenian authors who has received an unparalleled number of awards in Slovenia and abroad.

<b>Grošelj presents 33 climbs to highest mountains in a new book</b>

LJUBLJANA - Viki Grošelj, one of the most successful Slovenian mountaineers, launched a book which brings an insight into 33 of his climbs to some of the highest mountains in the world, from Makalu in 1975 to Himlung in 2022. Grošelj, 71, said on the occasion that it is based on the extensive notes he had written about Slovenian, European and other mountains, which had to be considerably narrowed down to one ""book, a review of more than 50 years of mountaineering"". The foreword of the book, published by Buča, was written by legendary mountaineer Reinhold Messner, which Grošelj sees as a great honour.

<b>Letters exchanged by Tesla and J. P. Morgan published in Slovenian translation</b>

LJUBLJANA - A book featuring a Slovenian translation of letters inventor Nikola Tesla exchanged with American investment banker J. P. Morgan and his son J. P. Morgan Jr. in the early 20th century to secure funding for his groundbreaking projects was published in Ljubljana. Its English title would read Nikola Tesla: Correspondence with J. P. Morgan & Co. This is the first time ever that this correspondence, which dates from between 1900 and 1939, has been published while it is also the first translation of the letters to Slovenian.

<b>Technology and art merge at Speculum Artium</b>

TRBOVLJE - Speculum Artium, a festival of new media art in Trbovlje, best known for its exploration of the cross-section between art, science and technology, will be held between today and Saturday, seeking answers to fundamental questions posed by contemporary art. The featured productions that explore the synthesis of artistic and scientific principles, socialization of new media production, dialogue between traditional visual and new media practice, and ""revitalization of the degraded social space trough new media practice,"" say the organisers, the Trbovlje-based Delavski Dom.

<b>American tourist killed in Soča rafting accident</b>

NOVA GORICA - A 55-year-old American man died while rafting on the Soča river close to Trnovo, a village in Kobarid municipality, on Tuesday. Two others were injured as the group's boat steered off the right course into deep water, Nova Gorica police said. Two rafts carrying a total of 16 passengers and a guide each set off from Boka towards Trnovo at around 10.30am. The passengers were UK, US, Canadian and Belgian citizens and the trip was organized by a local rafting provider.","crime, law and justice",politics
Soldiers no longer participate in control of southern border,"The government announced this as it answered a question from opposition Democrats (SDS) MP Branko Grims, who inquired about the withdrawal of soldiers from the border despite what he labelled as ""drastically increased inflow of illegal migrants.""

Grims also spoke about of ""abuses of the asylum procedure"", saying that ""illegal migration will be a major problem in the long run"", so the government should maintain or, if necessary, even strengthen the measures to protect the border.

The government replied that the decision to suspend the deployment of soldiers to help the police in protecting the border was taken on 13 December at a meeting between the SAF command and police, as the latter is undergoing reorganisation due to Croatia's entry into the Schengen Area.

It added that the army still cooperated with the police in securing the border with Croatia by removing the border fence and providing logistical support in road maintenance and in various forms of training in the area.

Asked about the protection of the border in the future, the government said that as of 2023, the police ""no longer carries out systematic protection of the state border, while implementing compensatory measures in line with risk assessments"".

The police will carry out joint border patrols with the Croatian counterparts more often in order to detect cross-border crime and illegal migration, and auxiliary police may also be engaged if need be, the government added.

As for the alleged abuses related to international protection applications, the government rejected the claims that the number of applications in 2022 exceeded the total number of applications for asylum in five years prior to that.

A total of 6,664 applications for international protection had been submitted last year by 22 December, while in the five years prior to that (2017-2021) there were a total of 17,021 applications, it noted.

The costs related to applicants for international protection in the first eleven months of last year amounted to EUR 4.37 million. These include cleaning, security, food, medical services, clothing, footwear, sanitation, energy, water and utility services.","crime, law and justice","crime, law and justice"
Bilingual education in focus as minister visits minority in Hungary,"The minister visited two bilingual primary schools, in Szentgotthárd and Felsőszölnök, where the head teachers presented the conditions, and held talks with minority officials.

The minority reported that they are trying to find ways to secure a sufficient number of bilingual teachers. Arčon expressed his support for their efforts, according to the Government Office for Slovenians Abroad.

Bilingual instruction is available from kindergarten through secondary school, and there are some Slovenian study programmes at universities in Budapest and Szombathely.

Nevertheless, bilinguality at these institutions is still behind the level provided in bilingual schools in Slovenia, in areas where the Hungarian minority live, the office said.",education,education
Number of people in need of aid from Caritas up 10% in 2022,"The 2022 report on the charity's website shows that more than 143,000 persons benefited from one of its programmes, of whom over 26,700 children and 35,000 elderly people.

Food aid was provided to nearly 70,000 parents with children and individuals and nearly 730 homeless people, while Caritas also helped pay bills to 17,600 elderly people, a 17% rise.

A total of EUR 11.1 million was spent on aid programmes at home and another EUR 4.4 million on aid shipped abroad, of which EUR 3.3 million went to Ukraine, said Tomažič.

Many people would like to work but once they get a job they lose all the benefits and end up financially worse off than if unemployed, he added.

Tomažič would thus like employers to set a decent pay for a well done job as a standard rather than insisting on the minimum wage.

Alenka Petek, a social worker from Caritas Ljubljana, said having a job used to be a way out of poverty, which is no longer the case.

An increasingly large number of families where both parents work turn to them for help as they find it hard to make ends meet due to high commercial rents.

Many of them apply for public rental housing but with the shortage of public homes for rent few are awarded one.

Janez Kastelic from Caritas Domžale said many people in need are afraid to ask for aid due to social stigma.

Immigrants and refugees also have a hard time, especially as they struggle with basic language skills, said Petek.

Many elderly people are also struggling on their low pensions, especially amid high inflation, and they are also socially excluded as their circle of friends is narrowing.

""They worked hard all their lives, but now they are dependent on humanitarian organisations, which often makes them feel very humiliated,"" she added.

Caritas tries to help people who are just below eligibility for other forms of state-provided aid or allowances, Tomažič said. Many of them have decent incomes, but struggle to survive because of debt, illness or other circumstances.

And with the prices of food, housing and other necessities further rising, the situation is not improving, he said.",human interest,human interest
Večer cautions about next financial crisis,"The turmoil on the financial markets following the collapse of smaller US commercial banks and the takeover of Credite Suisse, a superbank, is certainly not over, the paper says, commenting on the recent developments in the financial world.

""Regulators and politicians have learnt nothing from the last banking and financial crisis 15 years ago. In the light of recent events, it is increasingly questionable whether this was ever the intention. In fact, there is nothing left of the great promises of regulation that would no longer tolerate speculation and abuses allowing bankers and other financial speculators to first make fat profit as private individuals and then have their losses covered by the taxpayer.

""There is plenty of money for speculation, because for years central banks have literally flooded the markets with it. The more money is available, the more the appetites of speculators grow, the more their circle widens. The greater the profits for top officials, the greater risks they can afford to take, the more arrogant and greedy they become.""

And to make sure they really have nothing to worry about, top bank officials are also members of regulators' bodies, which means they are actually controlling themselves, the paper says.

While politicians salvage them with billions in taxpayer money, the fines that courts slap top superbank officials with are quite low compared to the profits made and they do not even have to pay for them from their own pocket, Večer says, noting that these costs are covered by the banks.","economy, business and finance","economy, business and finance"
Public sector trade unions up in arms over alleged wage adjustment ban,"A total of 36 public trade unions signed a statement calling on MPs to amend the government's budget implementation bill, one of whose articles they say precludes basic wage adjustments in 2024. The noted that no automatic adjustment exists in the public sector.

The unions argue that the article ""de facto terminates negotiations"" on wages, which they find completely unacceptable and a violation of the constitutional right to trade union association and activity.

They speak of an attempt to discipline them ""at a time when the government claims that it is in its interest to reach an agreement with the unions on a new public sector pay system"".

While describing the negotiations as being very turbulent in recent months, the unions accused the government of simultaneously acting as the holder of power and as an employer"", of putting forward contentious legislative provisions to secure the goals pursued in the negotiations.

""It is thereby demonstrating that it does not understand the meaning of the equality of partners and the importance of social dialogue,"" the unions wrote, calling on MPs to throw out the article in question.

""This way you will allow the negotiations to continue and ensure that both sides in this social dialogue are on an equal footing. Otherwise, you will also be assuming responsibility for unilateral interference in the ongoing negotiations, and unfortunately force us to to resort to other forms of industrial action.""

The college of the National Assembly speaker decided today that the MPs would be discussing the budget documents for the next two years on Monday, after which these will also be on the agendas of the relevant parliamentary committees.",labour,labour
Watchdog's report reiterates concerns about integrity breaches,"The commission is successful, but it needs to become more effective, reads its press release.

Amending the Integrity and Prevention of Corruption Act may contribute to this, but politics ""has not been responding to the Commission's initiatives to regulate the incompatibility of holding multiple public offices in a uniform manner"".

The way of displaying changes or assets remains incomplete. Sanctions for breaches of integrity or non-compliance with the commission's recommendations need to be laid down, and lobbying rules need to be revised.

In 2022, the watchdog recorded a year-on-year increase in the numbers of reports received and resolved, as well as a higher number of investigations, noted Commission president Robert Šumi.

Proven conflicts of interest are most often only a step away from corruption, the Commission said, and holding several posts at the same time is generally not in the public interest.

Moreover, ""standards of integrity, accountability and transparency"", in addition to competence, should be the golden rules in the selection or appointment of senior executives.

The report focuses on integrity, since the watchdog believes that integrity is a prerequisite for trust. What is needed the most in order to fight corruption is cooperation between politics, the public sector, independent public authorities, industry, NGOs and media.

The watchdog also drew attention to one of its projects which raises awareness about the importance of integrity among young people. A total of 17 primary schools and one kindergarten participate in the project.","crime, law and justice","crime, law and justice"
New network security requirements and restrictions unveiled,"Unveiling the draft implementing act on Thursday, the Agency for Communications Networks and Services (AKOS) said that the proposal set out guidelines for mobile communications network operators in their dealings with IT and network equipment providers and in risk assessment, and would allow the implementation of the provisions of the Electronic Communications Act.

Since the proposal, which is now in public consultation, also applies to network operators already using certain technology or equipment from certain manufacturers, the provisions provide for a transitional period to comply with the additional security requirements.

Providers of mobile communication services may therefore use the existing equipment or the equipment for which they have already concluded a contract until the end of its lifetime, but no longer than seven years from the publication of the relevant new rules in the Official Gazette.

The proposal was drawn up in cooperation with the government's Information Security Office on the basis of Article 116 of the Electronic Communications Act, which was adopted in September last year and brought about a major overhaul of the regulation of electronic communications.

The article in question determines that an implementing act will lay out critical network elements and associated information systems and other technical guidelines to be complied with by operators providing mobile networks to critical infrastructure.

In the efforts to develop the proposal, AKOS and the Information Security Office have also turned to the EU toolbox for 5G security, which contains a set of comprehensive measures for a coordinated EU-wide approach to securing 5G networks. Moreover, AKOS took into account the latest guidelines of the EU Agency for Cybersecurity.

Responding to criticism in some media about the slow pace of the adoption of the proposal, AKOS said that the draft implementing act dealt with complex and technically demanding issues and required substantial preparations, which is why it had taken longer than originally planned.

The opposition and certain media have been also criticising the new law on electronic communications, as they believe it was water-downed from its original form to appease Huawei.

The coalition-proposed amendments to the bill changed its provisions regarding security requirements that could apply to Huawei. Instead of banning cooperation with certain suppliers designated as ""high-risk suppliers"", the law now prohibits the use of equipment that could jeopardise national security.

While the Democrats (SDS) believe that the ruling coalition caved in to pressure from China and Huawei, the government and the coalition have argued that if the bill had been passed in its initial form, it would have been discriminatory against the supplier on the basis of its origin, regardless of the actual safety of the equipment.

Earlier this week, the news portal Necenzurirano was also critical of the water-downed security provisions of the law, whose passage took as long as two years, as well as of the slow pace of adopting AKOS's implementing act. This suits Huawei, which is reported to be first in the line of potential 5G equipment suppliers of Telekom Slovenije, the portal said.","crime, law and justice","crime, law and justice"
Dnevnik says new health minister candidate is a safe choice,"If many warnings about Danijel Bešič Loredan's experiences with previous employers were overheard when the former health minister was appointed, this time Golob will obviously strive to avoid creating new hotspots.

Forwarding Prevolnik Rupel as candidate is in line with Golob's belief that the health minister must foremost be a connective force and not so much a visionary.

Stakeholders in healthcare have cooperated with Prevolnik Rupel during the government of Borut Pahor, when she was the right hand of Health Minister Dorjan Marušič. She is known as a fair consensus seeker who avoids direct confrontation.

But already her announcement of changes to the patient's rights basket is a slippery slope. In contrast, the guidelines she presented as state secretary in September outlined a strategy of small steps.

""When ministers take over at the Health Ministry as a second choice the expectations are usually lower and the aspirations for compromises greater.

""Profound interferences in the foundations of the system are politically risky and it is not very likely that they would be introduced in the pre-election period,"" Dnevnik says under Antipode of Bešič Loredan.",health,health
Govt meeting for budget session,"The government started budgeting for the coming two years in May and outlined both budgets at the start of the summer.

Its goal is to reduce the deficit under 3% of GDP in 2024 and then gradually further reduce it, as the fiscal rule, relaxed during the Covid pandemic, will apply again in 2024.

Expenditure for 2024 was set at just over EUR 15.2 billion and at 15.9 billion for 2025, and is not changing despite the floods that hit the country last month.","economy, business and finance",politics
Pogačar wins national champion title in time trial,"The 15.7-kilometre time trial climbed over 800 metres of altitude, from the village of Zgornje Gorje, near Lake Bled, to the Alpine plateau of Pokljuka.

Pogačar finished the route in 29 minutes and 43 seconds, to claim his third national champion title in time trial.

The 24-year-old beat the second-placed Marko Pavlič by 5 minutes and 14 seconds. Third place went to Anže Skok, who finished in 36 minutes and 13 seconds.

Women raced the same route, with Žigart finishing in 38 minutes and 19 seconds, defending her title from last year. For her as well, this is the third time trial title.

She was 1 minute and 43 seconds faster than Urška Pintar in second place, while Nika Bobnar in third place was 5.27 slower.",sport,sport
Weather: Changeable,"Skies will partly clear on Thursday morning. Local showers are possible during the day. A weak bora wind will blow in the western Primorska region.

Friday will be sunny. An easterly wind will blow. A weak bora will blow in Primorska.",weather,weather
