headline,lede,text,high_label,proposed_label
Slovenia gets first digital mobile operator,"Slovenia will get its first digital mobile operator as Austrian telecommunication group A1 launches re:do this evening. Re:do is part of A1, but has its own team, while A1 Slovenia will continue to provide the same services to individuals and companies as so far.","Mobile users will be able to switch to re:do via a mobile app and use either a digital or regular SIM card, which can be ordered home or bought at Petrol and OMV filling stations. Users can keep their existing number or pick a new one.

A single mobile package will be available for EUR 15 a month, allowing unlimited calls, messages and data transfer in Slovenia, and unlimited calls and messages and 14 GB of data transfer in the EU.

Slovenia is the first market where re:do is being launched. According to Alexander Kuchar, who is in charge of technology and business development at A1 Group, the Slovenian market is suitable as a testing ground because it is demanding and has a strong competition.

A1 surveys have also found Slovenians to be very digitally skilled, he said. ""If we're successful here, we'll be successful in other markets.""

The goal is to attract 100,000 users in three years, said re:do CEO Iliyan Dimitrov.

Re:do targets people who want to run as many errands as possible online and who like to be free, as re:do subscription can be cancelled any time.

Alexander Kuchar said re:do wanted to offer more freedom and transparency without hidden costs. Any comments and proposals for improvements will be collected at the re:do website. The app will be upgraded regularly to meet users' needs, Dimitrov said.",health,"['economy, business and finance', 'science and technology']"
Weather: Sunny spell continues,The dry and sunny spell will continue on Sunday and last well into next week as a heat dome persists over much of Europe.,"Mornings will be on the cool side though still high for this time of year as lows in the low-teens are forecast, dropping to well under ten degrees in the mountains in the west.

During the day, however, the mercury will approach 30 on the coast and climb to at least 25 across the rest of the country.",weather,['weather']
Prices of natural gas and electricity for households up q/q,"The prices of natural gas and electricity for households went up in the second quarter of the year compared to the first, the Statistics Office said on Tuesday. Meanwhile, both gas and electricity were cheaper for non-household users.","The prices of natural gas for households increased by 2% in the second quarter of the year, compared to the first, while prices of gas for non-household consumers dropped by 28%. Meanwhile, electricity prices for households increased by 7% and dropped by 4% for non-household users.

Average gas price for households reached EUR 0.099 per kilowatt hour, while the average price of gas for non-households dropped to EUR 0.060 per kilowatt hour, excluding VAT.

The average price of electricity for households reached EUR 0.194 per kilowatt hour, and dropped to EUR 0.216 per kilowatt hour, excluding VAT, for non-households.

In part, the prices were affected by the government's measures designed to mitigate the effects of rising energy prices, including temporary caps and suspensions of some duties, the Statistics Office said.

Compared to the rest of the EU, the price of gas for households, including all taxes, was at 83% of the EU average, while the price for non-households, excluding VAT, was the same as the EU average.

The price of electricity for households in Slovenia, including all taxes, reached 69% of the EU average, while the price for non-households, excluding VAT, was at 94% of the EU average.",labour,"['social issue', 'environmental issue', 'economy, business and finance']"
EU veterinary services discuss priority tasks,"Administration for Food Safety director Matjaž Guček attended the informal meeting of veterinary services in Brussels last week. Slovenia believes that it is crucial to protect the EU internal market and to consider the effect on third countries when improving animal welfare, the food safety authority said on Monday.","In 2023 Chief Veterinary Officers (CVO) decided to prioritise sustainable production of food of animal origin, animal welfare and responsible use of antimicrobials.

Slovenia noted the importance of the transfer of knowledge and best practice between the EU member states, which the Danish and German representatives presented at the meeting.

The working group discussed preventive vaccination and biosafety in the context of the aviary flu and the African swine fever.

The CVO working group, led by Sweden as part of its presidency of the Council of the EU, will meet again in March and is set to discuss the EU position on international standards on animal health.",health,['health']
Golob and Niinistö discuss Slovenia's planned defence purchases,"Prime Minster Robert Golob met Finnish President Sauli Niinistö on the sidelines of the NATO summit in Lithuania on Tuesday to discuss Slovenia's plans to purchase APCs after the country withdrew from a deal with the OCCAR to buy eight-wheeled Boxers. Finland is a possible supplier, but no decision has been made yet, said Golob.","""The Finns could be one of the suppliers, but that's it,"" Golob said, stressing that the decision on the purchase has to be made by the government.

He also pointed out that Slovenia is not talking directly to industry or through intermediaries. All talks are held at intergovernmental level, he said.

Increasing defence spending is one of the main topics on the first day of the NATO summit, which started in Vilnius today.

NATO leaders are expected to approve a new commitment under which 2% of GDP will no longer be the upper spending limit, but the lower one.

""It won't necessarily be easy to get there, we know that,"" Golob said as he arrived at the summit.

He assured the government will work to increase defence spending in every budget to reach the target by 2030, but pointed to an objective obstacle in the form of EU's new fiscal rules.

""I'm convinced that if the increase in defence spending is not properly addressed in the fiscal rules, not only Slovenia, but most EU countries will have really big challenges to meet this target,"" Golob said.

NATO's recent estimates show that eleven of the 31 NATO members will spend 2% of their GDP or more on defence this year, while Slovenia will spend 1.35%.","economy, business and finance","['politics', 'economy, business and finance']"
Extension of caps on electricity and gas prices expected soon,"The government is unofficially planing to extend the cap on electricity and gas retail prices for households, small business customers and small and medium-sized companies until the end of the year, as is already the case when it comes to public institutions. It is not yet clear when the cabinet will decide on the matter.","Economy Minister Matjaž Han said at a forum event on Tuesday that the government would this week extend the cap on energy prices for small and medium-sized enterprises until the end of the year, while the Infrastructure Ministry has not been able to confirm any timeline for the STA as yet.

Government officials indicated on several occasions last year that the price cap regulation, which expires in mid-2023, would be extended until the end of the year. According to unofficial information, prices will be set at the same levels as now.

The government capped electricity and gas prices for households, small business consumers and some protected consumers for a year from 1 September 2022. It later also limited electricity and gas prices for SMEs, public institutions, utilities, agencies and funds, and for municipalities.

For households and consumption in shared premises, the maximum price per megawatt hour (MWh) is set at EUR 98 for the single daily tariff. For non-household customers with a connection capacity equal to or less than 43 kilowatts (kW), the cap is EUR 124 per MWh for the single tariff.

Moreover, the gas price cap for protected household users and for distributors of heat for households was set at EUR 73 per MWh and for social service centres, kindergartens, primary schools, health centres and small business customers at EUR 79 per MWh.

For micro, small and medium-sized companies, the single daily electricity tariff is capped at EUR 195 per MWh.

The caps for the prices of electricity and gas for public institutions, public utilities, public agencies, public funds and municipalities have already been put in place for the whole of 2023. The single electricity tariff is capped at EUR 186 per MWh and the gas tariff at EUR 95 per MWh.

Dejan Paravan of GEN Energija, which owns the Slovenian half of the Krško Nuclear Power Plant, told the press last week that the current retail electricity market prices are lower than the regulated prices for SMEs and public institutions, but higher than the regulated prices for households and small business customers.","economy, business and finance","['politics', 'social issue', 'economy, business and finance']"
Večer highlights problems in trials against cartels,"Looking at the recently concluded Balkan Warrior drug trafficking trial, which involved the defendants surprisingly pleading guilty in exchange for time served in what was the second retrial, Večer warns on Friday that problems which have plagued this trial have not been resolved.","""The saga, lasting more than a decade, highlighted a number of problems that we will continue to face because given the start of the Kavač Clan trial, we will continue encountering international cartels in our courtrooms,"" Večer says in the commentary Finally the End.

These trials will continue to revolve around evidence secured abroad, evidence that defence attorney keeps claiming is unlawful because it has not been obtained according to Slovenian standards.

""One would expect that after the Balkan Warrior soap opera case law would be more firmly established, but the start of the Kavač Clan trial shows we have a long road ahead - and that criminals are still always a step in front of law enforcement and the judiciary.""","crime, law and justice","['crime, law and justice']"
"Slovenia introducing checks on border with Croatia, Hungary on Saturday (adds)","Slovenia will introduce police checks at the borders with Croatia and Hungary on Saturday for at least ten days, the government said on Thursday, in a decision that comes after Italy announced the same measure at the border with Slovenia as of Saturday.","Explaining the decision, the government cited heightened security risks due to organised crime and the escalation of tensions in the Middle East.

Law enforcement information indicates organised crime in the Western Balkans is surging, with organised groups becoming increasingly connected and intertwined.

Moreover, members of various terrorist and extremist movements and groups are withdrawing from conflict zones ""to avoid the consequences of their actions or even with the intention of jeopardising our security and stability,"" the government said.

Interior Minister Boštjan Poklukar, who was in Luxembourg today for an EU ministerial on the situation in the Schengen Area, said that people along the border would be able to continue to live normally despite the checks being introduced.

""My instruction to the police commissioner was to ensure normal life and normal crossing for the people who live along the border,"" he said.

The police said there will be 14 checkpoints for international travellers, 12 on the border with Croatia and 2 on the Hungarian border. On smaller crossings only EU citizens will be allowed to cross, and some points will be reserved for locals with special permits.

The minister apologised in advance to all citizens and residents of Slovenia who will be stopped and will have to show their IDs, ""because the terrorist threat is still high in Europe.""

He assured his Croatian counterpart Davor Božinović that Slovenia will adapt the measure to the people living near the border, and expects Italy to do the same after the country said it will temporarily introduce control on the border with Slovenia as of Saturday.

""I once again told Italian Minister Matteo Piantedosi that I want Italy to ensure the normal flow of people living along the border,"" Poklukar said, noting that the border closure due to the Covid-19 pandemic made life at the border ""unbearable"".

All three interior ministers will talk about the issue at a meeting in Trieste in early November.

Croatian Prime Minister Andrej Plenković said that the announced control at the internal Schengen border by Slovenia must remain an exception introduced only as a last resort.

He attributed the decision to the migration crisis and an increased terrorist threat related to the escalation of violence in the Middle East, noting that consultations with the neighbouring countries concerned was of key importance.

""It should be noted that it is a temporary measure and that it must remain an exception, introduced only as an extreme measure which must be subjected to strict conditions, especially regarding implementation and duration,"" he said.

As the opposition commented on the measure yesterday, when the information was still unofficial, Democrats (SDS) head Janez Janša said that apparently even the largest sceptics had realised that the situation was serious.

Pointing to what is going on in the Middle East, Janša said that Slovenia should have made the move even before Italy had decided for the measure. The government should also help Croatia control the external Schengen border with Bosnia, he added.

The New Slovenia (NSi) said the decision was the right one, while wondering whether this will be enough, and noted that it had been warning about the risk months ago. ""We said that removing [border] obstacles is a wrong signal to migrants.""

Both the SDS and NSi noted the risk of refugees from the war zones possibly also including members of terrorist groups.

The Left, a junior coalition partner, is reserved to the measure, as it affects the lives of the people along the border. Such measures should be taken ""with a grain of salt"", as in the past they had led to razor wire fence on the border, said MP Matej T. Vatovec.

The party can understand the possible fear in people, but Slovenia also needs to think about making serious political steps that will lead to peace in the Middle East, where the situation poses the risk of a new migration wave, he added.

Control at the internal border, such as announced by Slovenia and Italy, is currently implemented by nine EU member states, mainly due to the migration crisis and the threat of terrorism.

Commenting on the introduction of border checks by several members, European Commissioner for Home Affairs Ylva Johansson said that although border controls may be warranted, they hinder free movement within the EU and should be avoided.","crime, law and justice","['politics', 'crime, law and justice']"
Izola Marina expanding to claim leading spot in Slovenian Istria,A new pier has been recently built at the Izola marina in what is an addition that increased the number of berths to nearly 800 and made the marina in the seaside resort Izola the largest marina in Slovenian Istria.,"The EUR 2.3 million investment resulted in the new pier, providing berths for vessels up to 12 metres in length. The Izola marina now has more berths than its rival in Portorož, another popular seaside resort in Slovenia, the municipality of Izola told the STA.

""Currently, there are more than 600 vessels in the Izola marina,"" Vladimir Gavran, director of the marina operator Porting, told the STA, adding that there was a lot of interest in booking berths there, including among foreigners, who are mainly from German-speaking countries.

Due to inflation and higher costs, Porting raised prices last week. The increase in berthing fees of some 5% is less than half of the increase in the company's costs, so marina users will not shoulder the burden of price hikes alone, Gavran said.

After two years of Covid, the municipality is now seeing the return to 2019 levels or even an improvement on pre-Covid indicators.

In the future, the local authorities seek to spruce up the marina to make it even more user-friendly now that guests are returning.

Last year saw a 24% increase in arrivals and a 16% increase in tourist overnight stays compared to 2021. Slovenian guests accounted for 57% of total arrivals and 62% of total overnight stays, the municipality said, noting that foreign guests were also returning.

The number of visitor arrivals from Germany, Austria and the Czech Republic is even higher than in the pre-Covid period, and in addition to these countries most foreign visitors come from Hungary and Italy.",sport,['sport']
Slovenian officials express condolences after Napolitano's death,"President Nataša Pirc Musar, expressed her condolences to Italy after the death of former Italian President Giorgio Napolitano. Former President Borut Pahor thanked him for his efforts to foster good relations between Slovenia and Italy.","""On behalf of the Republic of Slovenia, I express my condolences and deepest sympathies to President Sergio Mattarella and the people of Italy following the death of the Former President of the Italian Republic Giorgio Napolitano,"" the president wrote on X.

Pahor, who met Napolitano on several occasions, also expressed his condolences on X and thanked Napolitano for his efforts to promote friendship, reconciliation and good relations between Slovenians and Italians. ""I will keep him in my noblest memory,"" he added.

Napolitano died on Friday at the age of 98 in a hospital in Rome. He had had health problems for a long time and his condition had deteriorated in recent days.

The former president contributed to the thawing of relations between Slovenia and Italy, including by paying a visit to the National Hall in Trieste in 2010, together with the then presidents of Slovenia and Croatia, Danilo Türk and Ivo Josipović. The trio called for overcoming the tragedies of the past. When he visited Slovenia in 2012, Napolitano became the first foreign president to address the National Assembly.",politics,['politics']
"President talks Ukraine, W Balkans, culture and sport with German counterpart (adds)","In what is her second visit abroad after being sworn in, President Nataša Pirc Musar met her German counterpart Frank-Walter Steinmeier in Berlin on Thursday. Discussing topical issues such as climate change, the Western Balkans and the war in Ukraine, the pair pointed to Slovenia's and Germany's shared positions and excellent relations.","Steinmeier said he was glad to host the first woman president of the country with which Germany had long fostered a deep friendship that should be strengthened and developed further.

He added that despite its small size, Slovenia has achieved great things ""with its smarts, patience, persuasiveness, and the ability to form alliances and make compromise"".

The pair discussed global challenges, with Steinmeier recalling Pirc Musar saying as she was sworn in that courage is not the absence of fear but rather the ability to face one's fears head on.

Both condemned the war in Ukraine and stressed it was Russia who was the aggressor. Pirc Musar said that when the time comes, Slovenia would help rebuild Ukraine, also by providing de-mining help.

The pair avoided commenting on potential peace initiatives or further military aid to Ukraine, with Steinmeier underscoring the German Leopard 2 battle tanks need to be delivered as soon as possible.

He underlined last year's successful cooperation between Slovenia and Germany in supplying Ukraine with firearms, and Pirc Musar said Europe should remain unanimous is supporting the war-stricken country.

Slovenia can not offer Ukraine large-scale support, she said, adding that taking into account the size of its population, the country is already one of the five biggest donors, having provided EUR 23 million-worth of aid.

Discussing the Western Balkans' integration efforts, the German president welcomed Pirc Musar's engagement in the Brdo-Brijuni Process, which her predecessor Borut Pahor initiated.

Both said it was time to overcome nation-dividing ideologies, and turn focus to climate change, biodiversity and young people.

The Slovenian president noted that in the last 15 years, 4 million people left the Western Balkans and that these countries have to be aware that ""they need to remain functional,"" which was especially challenging for Bosnia-Herzegovina.

Pirc Musar confirmed that the next Brdo-Brijuni meeting will take place in North Macedonia. During her recent visit, Croatian President Zoran Milanović agreed to let her choose the main topic, she said. Steinmeier shared her view that the Brdo-Brijuni Process does not conflict with the Berlin process, a German initiative.

Talking biodiversity and climate change, the presidents underscored cooperation, with Pirc Musar pointing to Slovenia's involvement in Germany's automotive industry in light of efforts towards a sustainable, green future.

The two also noted that Slovenia will be the guest of honour at the Frankfurt Book Fair, the of its kind in Europe, in October this year.

""Whether it be culture, sport or politics, we are happy to have you by our side,"" Steinmeier said, while Pirc Musar noted ""books were weapons, and culture and art can, in many aspects, move mountains.""

With business diplomacy being an important part of her foreign affairs activities, Pirc Musar also met with representatives of the German business sector.

She concluded her visit at Berlin's Neues Museum, where artefacts that were found on modern-day Slovenia's territory are exhibited, her office said.",politics,"['unrest, conflicts and war', 'politics', 'politics', 'sport']"
Divača-Koper railway closes for four days,"Passenger and cargo rail transport between the port of Koper and the railway hub of Divača, south-west, will come to a standstill between Saturday morning and Tuesday evening to allow workers building a new railway between the two towns to build a 900-metre track on the existing route to make room for the new, 27-km Koper-Divača track.","At Divača, the existing and new tracks meet, so 900 metres of the existing track will be slightly moved, said 2TDK, a company in charge of building what is known as the second Koper-Divača rail track, one of the biggest infrastructure investments in Slovenia's history.

This will clear the area so that workers can continue building the second Koper-Divača track in the direction from Divača towards the Lokev tunnel.

Once the 900-metre track is fully moved to a new location, transport will resume on the Koper-Divača route on Tuesday evening.

In the meantime, passengers and cargo will be redirected to roads while part of the cargo will wait in the port of Koper for the route to reopen, said Primorske Novice, the Koper-based newspaper.

2TDK said full closure of the Koper-Divača rail route is needed to do all the works, from moving rail tracks and points to all signalling equipment.",labour,"['labour', 'economy, business and finance']"
SDS files ousting motion against health minister (adds),"The Democratic Party (SDS), the bigger of the two opposition parties, filed into parliamentary procedure on Thursday an ousting motion against Health Minister Danijel Bešič Loredan, citing deteriorating situation in public healthcare, failure to implement reform in line with the ministry's own timeline and failure to act diligently.","The motion, which the SDS announced on Monday, accuses the minister of making the waiting periods for healthcare services even longer than they had been.

When he took over as minister in June 2022, Bešič Loredan promised to cut waiting times, the SDS notes in the motion.

But despite spending some EUR 137 million to achieve this, the number of people waiting for treatment beyond an admissible period of time has increased by nearly 50,000 between 1 September 2022 and 31 March 2023, it adds.

""Fact is that funds coming from taxpayers' pockets were not used economically and the measure designed to cut waiting times did not have the wanted effect,"" the motion says.

The SDS is also critical of Bešič Loredan for claiming the measure was a success because the waiting times had not gotten extremely long.

The 12-point motion also accuses the minister of having broken a number of promises regarding the ministry's reform timeline.

Among other things, Bešič Loredan promised to have drafted systemic legislation to address lack of GPs and overhaul the management of public healthcare institution by the end of June.

Moreover, he promised to have drafted a new wage tier for healthcare by April and has also failed to carry out a structural overhaul of the public health insurance, the ZZZS.

""Time has run out, who will take political responsibility?"" the party wonders, also claiming that the minister is unsuccessful in combating corruption.

The SDS moreover labelled as a fiasco the establishment of a strategic council for healthcare overhaul, which first worked at the ministry, but then a new one was established by the prime minister's office. The latter is headed by Erik Brecelj, a surgeon who has often been a vocal critic of the minister.

The SDS says this indicates a rift in the team that promised a major breakthrough in healthcare, listing a number of minister's associates who left their jobs.

The opposition party is also critical of the government's plan to abolish top-up health insurance, establish clinics for those who lost their GPs and make changes to the emergency services network.

The SDS believes that the minister's actions have led to a deterioration of the healthcare system, violations of the citizens' constitutional right to healthcare, limited access to healthcare services and that they undermined the role of health minister to the point where he has lost the trust of the public.

When the motion was announced earlier this week, the coalition parties, as well as New Slovenia (NSi), the other opposition party, said they would not endorse it. However, the Left, a junior coalition party, said it was time to discuss Bešič Loredan's performance.

This is the fourth ousting motion filed since the incumbent government was sworn in in June 2022. The first was filed against Interior Minister Tatjana Bobnar, who stayed on but later resigned over a dispute with Prime Minister Robert Golob.

This was followed by a motion against Foreign Minister Tanja Fajon, who survived the vote as well. Earlier this year, the SDS also filed a motion against the entire government.

Bešič Loredan is the fifth health minister to be targetted by an ousting motion since Slovenia gained independence 32 years ago.",health,"['politics', 'health']"
Italian wins maintenance payment relief dispute in Slovenia,"The Supreme Court has sided with an Italian appellant in an administrative dispute over the exercise of maintenance payment relief, ordering the Financial Administration to re-examine the case and enable him to exercise the relief. The court found violations of the provisions on the free movement of workers in the EU in the relevant Slovenian law.","The worker who had initiated the administrative dispute lives in Italy and gets all his income from employment in Slovenia, where he also makes advance payments of personal income tax.

When he wanted to exercise the maintenance payment relief in his income tax return, he could not do so either in Italy or in Slovenia.

In accordance with the Slovenian Personal Income Tax Act, a tax resident of another EU member state who receives income from employment in Slovenia is eligible for maintenance payment relief only if their income obtained in Slovenia represents at least 90% of their total taxable income in the tax year, while they are not taxed in the country of their residence.

However, the Supreme Court has ruled that this provision is in violation of Article 45 of the Treaty on the Functioning of the EU, which guarantees its citizens the free movement of workers.

It is true that the country of tax residence is the one that is obliged to grant such tax benefits to a person liable for personal income tax, but when it is not able to do so, the personal and family circumstances of the taxpayer must be taken into account when they are taxed in the country of employment, the court added in the ruling published on Wednesday.

According to the court, a taxpayer has the right to have their personal and family situation properly taken into account, regardless of how the member states of residence and employment divide this obligation among themselves.

It said specifically regarding the appellant in question that, as a tax resident of another EU member state, he was in a worse position than persons liable for personal income tax who are residents of Slovenia.

What is more, the Italian was also worse off compared to persons liable for personal income tax in Italy, because in the given circumstances he paid more income tax than he would have if he had generated his income in that country.",lifestyle and leisure,"['politics', 'economy, business and finance']"
Government moves to freeze top-up health insurance premiums,The government adopted on Thursday a decree that paves the way for a freezing as of 1 May of the top-up health insurance premium charged by private insurers as part of a mutual insurance scheme. The EUR 35 ceiling comes as a scrapping of the current top-up system altogether was set in motion in the wake of an announced hike in the premiums.,"The limiting of the monthly premiums to a maximum of EUR 35.67 will formally be confirmed with a follow-up decree to be adopted on Friday, and the ceiling will presumably be in force until the law abolishing the top-up insurance scheme is passed, Health Minister Danijel Bešič Loredan told the press.

""This ceiling corresponds to the highest premium paid by citizens for supplementary health insurance today,"" the minister said. He stressed the importance of the additional payments for the health system, while also speaking of the need to respond to the 30% hike announced for May by one of the private insurers that would be followed by other insurers.

""Thereby we are of course siding with the people, as the government is shouldering everything that is going to happen in the health system, the cost increases and everything else,"" Bešič Loredan said. The health system is getting more expensive, but it is unacceptable for top-up insurance prices to change, he added.

While still being ready to talk and cooperate with private insurers, the minister said the onus was on the insurers and that things could have taken a different course had the insurers approached the ministry before announcing the hikes and had done so ""with the awareness that supplementary health insurance is one of the strong pillars in the financing of public healthcare and not merely an insurance product"".

Because the insurers wanted to transfer the burden of the higher costs onto the people ""we needed to react and we did"", Bešič Loredan added about the top-up health insurance purse, estimated to be worth around EUR 600 million a year.

The premiums ceiling comes a day after the ruling coalition party, the Freedom Movement, tabled a legislative proposal that takes private insurers out of the equation by abolishing current top-up insurance and by instead introducing a new 35-euro monthly mandatory levy. The money would flow to ZZZS, the public health insurer, which already manages obligatory health insurance.",health,"['politics', 'health']"
Farmers stage another mass rally against restrictive policies (adds),"Farmers from around the country gathered in Ljubljana Tuesday for their second rally in a month to protest against environmental and other restrictions they say are making farming nearly impossible. ""We've had enough,"" trade unionist Anton Medved said on behalf of several thousand farmers who participated in the rally.","While police have not yet provided an update on the number of protesters, they said between 2,000 and 3,000 were expected in the capital. Medved, head of the Trade Union of Slovenian Farmers spoke of several thousand protestors, as well as of at least 1,500 tractors - these were mostly expected at assembly points on the outskirts of Ljubljana, but some have also been driving past the parliament building and around the city, causing major traffic disruptions.

""The farmer is king on his land. When a farmer protests, the country is already bleeding,"" Medved said, recalling that the farmers' union, together with other NGOs working in the interests of agriculture, was protesting because the situation in farming was no longer bearable. He pointed to environmental restrictions, tax burdens, unreasonable legislation ""written by some extreme environmentalists, far away from farms"".

The rally is a follow-up to a 24 March protest, after which a task force was formed with the government to conduct negotiations. The farmers walked away from the talks after two weeks, announcing a new rally and a stepping up of activities if needed. They said the talks did not meet their expectations and that proposed amendments to the Animal Protection Act that envisage authorised animal protection advisers for breeders had been the final straw.

Their main demands include the adjusting of new environmental rules so as to stay within realistic limits still allowing farming, a re-examination and reduction of Natura 2000-protected areas, the refraining from new taxes, clear and simple rules and the adjustment of direct payments and other funds they receive to cope with inflation.

They also want to see a reduction in the population of carnivores and the immediate start of effective population management. They are calling for legislation to protect prime agricultural land and preserve it for food production, for livestock farming to be considered as the basis for sustainable farming, and for a full scrapping of the regulation on the sustainable use of plant protection products at national level.

""Since our voice is not being heard, our comments and observations are not being taken into account, and the public perceives farming organisations as agreeing with many of the restrictive legislative measures, there is no other way than for us to speak up in a loud and clear manner,"" Medved moreover said as he addressed the rally that culminated in the square in front of the parliament building.

""We are here today because we want to preserve our right to farm. We demand viable working conditions and fair policies,"" he added, stressing that farmers were united to an extent not seen in a long time and that the government ""stands warned it needs to work for the benefit of agriculture and find solutions for the farmer and the consumer"".

Borut Florjančič, head of the Slovenian Association of Cooperatives, also argued there would be no food security in Slovenia if farm land was not protected. He spoke of ""Slovenian officials - deciding in an opaque and autocratic manner and blindly nodding to demands coming from offices in Brussels - depriving Slovenian farmers of their place in the world, their families of the future, Slovenian nature of its guardian, and Slovenian citizens of our home-grown food"".

Chamber of Agriculture and Forestry (KGZS) president Roman Žveglič said that both experts and farmers needed to be included in the drafting of laws. ""It is true that in chess, the pawn is usually sacrificed first, but it is only the pawn that can be promoted to a queen,"" he noted.

Meanwhile, Agriculture Minister Irena Šinko responded by saying farmers had the right to protest, but she feels it will be possible to come to an agreement in talks expected after the May Day holidays on the basis of a ministry proposal sent to them last Thursday.

The list of the solutions proposed includes the possibility of a voluntary implementation of protective regimes in Natura 2000 areas this year, with Šinko adding these areas presently could not be reduced, looser permanent grassland provisions, as well as higher quotas and looser carnivore culling regimes for the coming two years.

The minister moreover rejected claims that the envisaged animal protection advisers for breeders would be visiting farmers' barns and courtyards. According to Šinko, they would merely warn inspectors about specific complaints, while the inspectors would then act in line with their powers.",labour,"['politics', 'labour']"
Večer sees serious work ahead for Slovenia in the UN,"Slovenia, which won a non-permanent seat on the UN Security Council for 2024-2025, is in for some serious work already in October, when it becomes an observer, the newspaper Večer says on Tuesday under the headline The Game Is Getting Serious.","""Serious work - if Slovenia really wants to be independent, transparent, cohesive and accountable in world politics - will require a great deal of know-how, experience and patience, but above all, it will require not falling for the tricks that the superpowers will surely serve up from all sides.""

The paper says that firstly ""our diplomats will have to bear in mind that the unilateral world no longer exists and that multilateralism is being born with anguish"".

During its candidacy Slovenia showed it is well aware of this. It communicated with everyone and, above all, it seemed that its candidacy was not simply the result of a regional grouping such as the EU, or even of a defence alliance such as NATO. This is one of the reasons why it received an overwhelming 153 votes out of 190 in June.

Interestingly, Slovenia also plans to expand its mission at the UN led by Ambassador Boštjan Malovrh. The special mission for Slovenia's non-permanent membership in the UN Security Council will be headed by Samuel Žbogar. There is no doubt that both of them contributed significantly to the outcome of the June vote, but most non-permanent members in the Security Council do not have special missions.

""In total, we will have as many as 30 diplomatic representatives in New York. Well, yes, it may show that we are serious about the challenge, but it may also be more trivial. Malovrh was appointed head of mission in New York by the previous Janša government, so the current Golob government does not necessarily trust him enough, and in a sense wanted to downgrade him.""

Večer also says that ahead of the 78th session of the UN General Assembly, to be attended by President Nataša Pirc Musar and Foreign Minister Tanja Fajon, the Foreign Ministry announced something significant. It warned ""against unrealistic expectations about the role Slovenia will be able to play in the Security Council, especially regarding a possible intervention to end the war in Ukraine"".

""If such expectations exist, they are unrealistic, but it is a different matter if Slovenia is buying itself an alibi in advance that it will do nothing for peace in Ukraine. Because that does not suit the US or, for that matter, Russia. In this way, unfortunately, it would turn its back on many of the countries that gave it its vote in June,"" concludes the paper.",politics,['politics']
Coalition announces changes to three health laws,"The coalition has announced changes to three umbrella healthcare laws that are expected to enter public consultation by the end of November. The aim is to increase healthcare accessibility and quality, said the coalition's deputy groups on Wednesday, after a civil initiative put forward its own proposal to improve the situation.","Responding to the emergency bill proposed by the Voice of the People, the deputy groups of the Freedom Movement, the Social Democrats and the Left announced changes to the Health Services Act, the Medical Services Act and the Health Care and Health Insurance Act.

The Health Ministry is preparing amendments whose goal will be to strengthen medical teams at GP offices and reduce administrative work in order to improve the quality of health services.

The changes will also aim to step up oversight over doctors who work for different health providers, usually both in the public and private health systems, to ensure everything is by the book, the coalition said in a press release, noting that most of the civil initiative's proposals were aligned with either the proposals in the making or the already implemented measures.

The Voice of the People unveiled its own bill in mid-September. Its members said at the time that if the coalition did not decide to support and table the bill, they would start collecting signatures to do it themselves.

The 60-day time frame to collect voter signatures will start on 10 October, the organisation's representative Jaša Jenull told the STA today.

According to the Voice of the People, its bill is designed to ensure access to a GP for everyone, cut waiting times and stop ""the deliberate dismantling of the public health system"".

Not satisfied with the coalition's response, the civil initiative announced a protest and a press conference for Friday, saying that the past year had been marked with unmet deadlines and measures that had either had no effect or had further aggravated the situation.",health,"['politics', 'crime, law and justice', 'health']"
Disgraced priest Rupnik co-celebrates Mass despite restrictions,"Despite numerous restrictions imposed on him due to severe allegations of sexual abuse of nuns, Slovenian Jesuit Marko Rupnik, 68, continues giving sermons and co-celebrating Mass, according to the Italian newspaper Domani.","The paper says online that last Sunday Rupnik co-celebrated Mass in Basilica of St Praxedes in Rome, ignoring the ban on public ministerial and sacramental activity.

It says that at least until 22 January, he also gave sermons at Santa Prassede, while a few days ago he guided a group of visitors to his mosaics at the Archbasilica of John the Evangelist in the Lateran.

Restrictions on him were imposed before accounts of his alleged sexual, spiritual and psychological abuse appeared in the Italian media last December.

Apart from a ban on public ministerial and sacramental activity, he is banned from engaging on public communication, pursuing his artistic activity and leaving the Italian region of Lazio.

According to Domani, Rupnik rejected answering the newspaper's questions after Sunday's mass at Santa Prassede, which was attended by senior staff from the Aletti Centre.

Rupnik's superior in the Jesuit religious order Johan Verschueren explained for the Catholic news agency ACI Prensa that Rupnik is allowed to co-celebrate Mass ""within the Centro Aletti, which is his inner circle, his community"".

According to the latest testimonies by his victims, Rupnik's misconduct took place between the mid-1980s and 2018, including in Ljubljana within the Loyola community, which he co-founded.",religion and belief,['religion and belief']
"Weather: Pretty clear, with some morning fog","Pretty clear weather is forecast for Slovenia for Saturday, with fog or low cloud possible in some valleys in the morning. Temperatures will range from -5 to 1 degrees Celsius in the morning, and from 10 to 13 degrees during the day, up to 16 in the western region of Primorska.","After a clear morning on Sunday, it will gradually get cloudier during the day. It will also be cloudy on Monday, with occasional rain or snow in some parts of the country.",weather,['weather']
