code,hierarchy,name,description
subj:04018001,3,institution,"Either an established law, practice or system or an organization having a social, religious, educational or similar purpose such as hospital, school, prison "
subj:04019000,2,finance (general),Content of a general nature about finance 
subj:04019001,3,money and monetary policy,Government bank directed policy on the amount of money in circulation and the rate at which it can be loaned 
subj:05000000,1,education,All aspects of furthering knowledge of human individuals from birth to death. 
subj:05001000,2,adult education,Education provided for older students outside the usual age groups of 5-25 
subj:05002000,2,further education,Any form of education beyond basic education of several levels 
subj:05003000,2,parent organisation,Groups of parents set up to support schools 
subj:05004000,2,preschool,Education for children under the national compulsory education age 
subj:05005000,2,school,A building or institution in which education of various sorts is provided 
subj:05006000,2,teachers union,Organization of teachers for collective bargaining and other purposes 
subj:05007000,2,university,Institutions of higher learning capable of providing doctorate degrees 
subj:05008000,2,upbringing,Lessons learned from parents and others as one grows up 
subj:05009000,2,entrance examination,"Exams for entering colleges, universities, junior and senior high schools, and all other higher and lower education institutes, including cram schools, which help students prepare for exams for entry to prestigious schools. "
subj:05010000,2,teaching and learning,Either end of the education equation 
subj:05010001,3,students,"People of any age in a structured environment, not necessarily a classroom, in order to learn something "
subj:05010002,3,teachers,People with knowledge who can impart that knowledge to others 
subj:05010003,3,curriculum,The courses offered by a learning institution and the regulation of those courses 
subj:05010004,3,test/examination,A measurement of student accomplishment 
subj:05011000,2,religious education,"Instruction by any faith, in that faith or about other faiths, usually, but not always, conducted in schools run by religious bodies "
subj:06000000,1,environmental issue,"All aspects of protection, damage, and condition of the ecosystem of the planet earth and its surroundings. "
subj:06001000,2,renewable energy,"Environmental impact of renewable energy, including solar, wind, hydro, biomass and geothermal "
subj:06002000,2,conservation,"Preservation of wilderness areas, flora and fauna, including species extinction "
subj:06002001,3,endangered species,"Those species of wildlife in danger of disappearing, largely because of changes in environment, hunting, or weather "
subj:06002002,3,ecosystem,"A system of plants, animals and bacteria interrelated in its physical/chemical environment "
subj:06003000,2,energy saving,"Conservation of electrical, and other power sources "
subj:06004000,2,environmental politics,The debate on environmental policy 
subj:06005000,2,environmental pollution,"Corruption of air, water, land etc. by harmful substances "
subj:06005001,3,air pollution,Solid or gaseous matter affecting the quality of air that we breathe 
subj:06005002,3,water pollution,Solids or liquids that corrupt the quality of water that could be used for drinking or irrigation 
subj:06006000,2,natural resources,Stories about the environmental issues related to the exploitation of natural resources for human use 
subj:06006001,3,land resources,That portion of a nation or state that is above water and available for development either for profit or for the general good of the public 
subj:06006002,3,parks,"Areas set aside and developed for public enjoyment and recreation, including commercial development such as theme parks "
subj:06006003,3,forests,"Open areas of trees either available for public enjoyment, or for commercial purposes "
subj:06006004,3,wetlands,Areas generally marshy and not either under water or dry land. Often related to aquifers for water quality and/or wildlife 
subj:06006005,3,mountains,"Elevated land masses formed over the ages either by erosion, volcanic eruption, or movement of massive geographical formations called plates "
subj:06006006,3,rivers,"Moving water areas bounded by land that extend from earth sources and meander through land areas to join with other water areas. In smaller forms they are creeks, rivulets, streams etc "
subj:06006007,3,oceans,Salt water masses separating continents or other major geographical masses. smaller forms are seas or lakes or ponds 
subj:06006008,3,wildlife,All forms of animal life that have not been domesticated 
subj:06006009,3,energy resources,"Such resources as coal, gas, wind, sunlight etc., used to generate heat, electricity and power "
subj:06007000,2,nature,Taken as a whole the natural environment of flora and fauna 
subj:06007001,3,invasive species,"Non-native plants, animals and other organisms that tend to take over native species "
subj:06008000,2,population,People and their growth and development within a natural setting 
subj:06009000,2,waste,"Environmental impact of waste, including recycling efforts "
subj:06010000,2,water,"Environmental issues about bodies of water, including oceans, lakes, streams and reservoirs, as well as ice, glaciers and forms of precipitation "
subj:06011000,2,global warming,"All issues relating to global warming including temperature research, remote sensing on temperature trends, debate on global warming, ways to reduce emissions and carbon trading. "
subj:06012000,2,hazardous materials,"Materials that are harmful to humans or animals if they are exposed to them. Includes radiation, poison gases, chemicals, heavy metals, PCBs, and certain plant products "
subj:06013000,2,environmental cleanup,Processes whereby contaminated areas are cleaned of hazardous materials so they can be inhabited again by either people or animals. 
subj:07000000,1,health,All aspects pertaining to the physical and mental welfare of human beings. 
subj:07001000,2,disease,Any harmful or destructive condition 
subj:07001001,3,communicable diseases,Diseases that can be transmitted from one person or animal to another 
subj:07001002,3,virus diseases,Diseases caused by infection within cells by viruses 
subj:07001003,3,AIDS,"Acquired Immunity Deficiency Syndrome, an incurable disease caused by the human immunodeficiency virus "
subj:07001004,3,cancer,A serious and often fatal disease caused when normal cells mutate into tumours 
subj:07001005,3,heart disease,A degenerative and serious disease caused by narrowing of the arteries feeding the heart 
subj:07001006,3,alzheimer's disease,A disorder of the brain leading to dementia 
subj:07001007,3,animal diseases,Disorders affecting animals that do not necessarily endanger humans 
subj:07001008,3,plant diseases,Disorders affecting plants caused either by parasites or environmental factors 
subj:07001009,3,retrovirus,A family of RNA viruses such as those causing leukaemia and AIDS 
subj:07002000,2,epidemic and plague,An epidemic is a rapidly spreading condition in a community and a plague is usually a deadly disease of epidemic proportions 
subj:07003000,2,health treatment,In general treatment of diseases and other conditions to produce wellness 
subj:07003001,3,prescription drugs,Drugs that can be purchased only with a doctor's authorization 
subj:07003002,3,dietary supplements,Nutrients taken in addition to food to bolster health 
subj:07003003,3,diet,Controlled food consumption 
subj:07003004,3,medical procedure/test,"Any of a variety of treatments such as stress tests, catheterization, blood tests, computerised axial tomography scan or magnetic resonance imaging "
subj:07003005,3,therapy,"Treatment of physical, mental or medical conditions by non-surgical means "
subj:07004000,2,health organisations,"Includes stories about specific health organizations, including professional associations, non-profits and international groups "
subj:07005000,2,medical research,Investigation into the causes and cures of diseases 
subj:07006000,2,medical staff,"Doctors, nurses, interns and others in a medical facility "
subj:07006001,3,primary care physician,Patient's basic health care doctor - first point of call for all health related problems 
subj:07006002,3,health-workers union,"Issues involving industry groups for doctors, nurses, health workers etc. "
subj:07007000,2,medicine,A substance used with the expectation that it will eliminate disease or illness 
subj:07007001,3,herbal,Treatment based on the use of herbs and other plants to cure or alleviate disease symptoms 
subj:07007002,3,holistic,Treatment of the whole person including mental and social factors rather than just the symptoms of the disease. 
subj:07007003,3,western,"The practice of diagnosis, treatment and prevention of disease based on modern scientific research in the western hemisphere. "
subj:07007004,3,traditional Chinese,"The practice of diagnosis, treatment and prevention of disease based on traditional methods developed in the orient. "
subj:07008000,2,preventative medicine,Substances used to prevent diseases or illnesses 
subj:07008001,3,vaccines,Medications designed to create immunity to diseases 
subj:07009000,2,injury,A traumatic condition of the human body caused usually by outside forces 
subj:07010000,2,hospital and clinic,Medical facilities for the treatment of illnesses and injury 
subj:07012000,2,private health care,Health care provided by privately funded or insured organizations 
subj:07013000,2,healthcare policy,"Health-related policy decisions including what different countries are doing regarding prescription drug policies, AIDS, psychiatric care, health care funding and related topics. "
subj:07013001,3,food safety,Issues relating to food cleanliness and contamination 
subj:07014000,2,medical specialisation,The different medical specialist areas. 
subj:07014001,3,geriatric,"Research into aging and age-related issues including age-related illnesses, medical research, trends, geriatric medicine and related topics like age discrimination and health insurance for an ageing population. "
subj:07014002,3,pediatrics,"Research and medicine specifically for the young - includes premature babies, infant care, childhood disease and treatment - also teen-related health and behaviour problems. "
subj:07014003,3,reproduction,Reproductive technologies like invitro fertilization and cloning as well as related debates. Sexual development matters and sexually transmitted diseases would also fall under this category. 
subj:07014004,3,genetics,"The science and research into genetic-base disease and cures for disease. This would include proteomics (the study of what proteins are produced by which genes and what those proteins do), general genetics and stem-cell research. "
subj:07014005,3,obstetrics/gynecology,Specialty of female reproductive organs 
subj:07015000,2,medical service,"Medical support for doctors, including blood tests and other medical tests on individuals, X-rays CAT scans MRIs etc. "
subj:07016000,2,physical fitness,The condition of a person's cardio-vascular and muscular health. 
subj:07017000,2,illness,"Non-specific maladies such as stomach aches, headaches, flat feet, lumbago "
subj:07017001,3,mental illness,Those illnesses affecting the mind 
subj:07017002,3,eating disorder,"Anorexia, bulimia, overeating and similar illnesses "
subj:07017003,3,obesity,"A condition of body weight generally considered 20 percent above the norm for gender, age, height and bone structure "
subj:07018000,2,medical conditions,"Various stages of disease, illness or injury "
subj:07019000,2,patient,Issues which affect population in general as attendees at hospitals or doctors' surgeries. 
subj:08000000,1,human interest,"Lighter items about individuals, groups, animals or objects. "
subj:08001000,2,animal,Animals of all types 
subj:08002000,2,curiosity,Content of an unusual nature that can raise questions or amuse 
subj:08003000,2,people,Unusual content about people of all levels 
subj:08003001,3,advice,Letters and answers about personal problems that are publishable 
subj:08003002,3,celebrity,"Celebrity news, i.e. Madonna has a baby, Elton John sues his accountants etc. "
subj:08003003,3,accomplishment,"Achievements by individuals or groups, such as charitable fundraising, winning a competitive contest etc "
subj:08003004,3,human mishap,Stories arising from silly/stupid human errors e.g. like forgetting to tie one end of a bungee cord 
subj:08003005,3,fortune-telling,The forecasting of future events or the delineation of character by methods not ordinarily considered to have a rational basis 
subj:08004000,2,mystery,Something unexplained or unknown 
subj:08005000,2,society,Stories of well-known people 
subj:08005001,3,ceremony,"Rituals of a non-religious nature such as dedications, wreath layings, ship launchings etc "
subj:08005002,3,death,The human interest aspects of the demise of a person 
subj:08005003,3,funeral,The ceremony to intern the remains of a person 
subj:08005004,3,estate bestowal,The distribution of the estate of a person according to their will and any disagreements between the heirs 
subj:08005005,3,memorial,"Commemorative ceremony or object - plaque, statue etc - in remembrance of a person. "
subj:08006000,2,award and prize,"Decorations, awards and prizes, including those given by the government. "
subj:08006001,3,record,"Non-sport achievement by an individual or group that sets a new record, such as most books read, holding your breath longest "
subj:08007000,2,imperial and royal matters,"Imperial and royal family members, including matters on legal systems. "
subj:08008000,2,plant,"An organism of the kind exemplified by trees, shrubs, grasses, ferns, and mosses, typically growing in a permanent site "
subj:09000000,1,labour,"Social aspects, organizations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed. "
subj:09001000,2,apprentices,"People who are in the work force at a learning level, serving under a master "
subj:09002000,2,collective contract,Usually written contracts covering a specific class of worker 
subj:09002001,3,contract issue-wages,Element of contracts and contract discussions centring on remuneration 
subj:09002002,3,contract issue-healthcare,Element of contracts and contract discussions centring on health care issues 
subj:09002003,3,contract issue-work rules,"Element of contracts and contract discussions centring on rules affecting issues such as lunch and other breaks, work shifts, vacation scheduling, seniority, sick leave etc. "
subj:09003000,2,employment,Paid labour 
subj:09003001,3,labor market,A pool of people who are working or are seeking work 
subj:09003002,3,job layoffs,The reduction of a company's work force through dismissal because of changing economic factors 
subj:09003003,3,child labor,"Employment of children, usually under the age of 18 "
subj:09003004,3,occupations,"Generally one's trade, profession or business although professions are usually such things as lawyers and doctors, and occupations are such as clerks or truckers "
subj:09004000,2,labour dispute,"Differences of opinion about work conditions, pay, etc "
subj:09005000,2,labour legislation,Laws governing work and labour 
subj:09006000,2,retirement,The years after work 
subj:09007000,2,retraining,Providing a worker training in new skills when his old skills are no longer applicable 
subj:09008000,2,strike,A job action involving cessation of work 
subj:09009000,2,unemployment,Lack of paid work 
subj:09010000,2,unions,Groups established to represent bodies of workers 
subj:09011000,2,wage and pension,Parts of a salary divided for current income and future income 
subj:09011001,3,employee benefits,"Either benefits provided to an employee by a company, such as pensions, health insurance; or monetary compensation paid by a government to the jobless usually called unemployment benefits "
subj:09011002,3,social security,FICA. Money paid by individual and companies into a government account to be paid out when that individual reaches a certain age 
subj:09012000,2,work relations,The give and take between management and labour 
subj:09013000,2,health and safety at work,Rules and procedures for guaranteeing the health of workers 
subj:09014000,2,advanced training,Additional training to enhance current skills 
subj:09015000,2,employer,The person who employs workers and pays the salaries and other benefits to workers 
subj:09016000,2,employee,A person who trades his time and talent for money and other benefits 
subj:10000000,1,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel. "
subj:10001000,2,game,Contests generally for ones amusement 
subj:10001002,3,chess,A game played on a chequered board with 16 pieces to each side with specific ranges of movement depending on their identity 
subj:10002000,2,gaming and lottery,"Gambling, often involving selection of sets of numbers one expects to come up "
subj:10003000,2,gastronomy,The art of good eating 
subj:10003001,3,organic foods,Food which is grown using no artificial fertilizers or chemical compounds 
subj:10004000,2,hobby,"Various types of activities for amusement, such as collecting stamps, building models, quilting, crafts "
subj:10004001,3,DIY,"DIY - do it yourself. Normally the construction, repair or maintenance of residential property by an amateur "
subj:10004002,3,shopping,"Consumer purchasing and related trends, but not the business aspects of retailing "
subj:10004003,3,gardening,"The non-commercial aspects of landscaping, growing plants, trees and other vegetation that gives pleasure to the gardener and others "
subj:10005000,2,holiday or vacation,Leisure travel to a single location and/or country over a short period of time 
subj:10006000,2,tourism,"Leisure travel involving visits to a number of locations and/or countries over an extended period of time, often as part of an organized group "
subj:10007000,2,travel and commuting,"Transport options, travel networks, commuting, car pooling and business travel "
subj:10007001,3,traffic,Traffic reports and/or warnings 
subj:10008000,2,club and association,Organizations joined by individuals because of similar interests 
subj:10009000,2,lifestyle (house and home),Unique culture of ones own home 
subj:10010000,2,leisure (general),Activities carried out in ones' spare time 
subj:10011000,2,public holiday,A day or days set off for celebration 
subj:10012000,2,hunting,An activity involving the use of weapons or traps for the capturing of animals 
subj:10013000,2,fishing,"An activity involving the use of baits, lures, weapons and traps for the capture of aquatic species "
subj:10014000,2,auto trends,The evolution of the automobile 
subj:10015000,2,adventure,"Expeditions, daring feats, exploration, record-breaking, risk-associated events "
subj:10017000,2,consumer issue,"Shopping, products for the home, relevant surveys, product recalls "
subj:10018000,2,wedding,"The marriage ceremony and the events that surround it - showers, rehearsal, parties, honeymoon, etc. "
subj:11000000,1,politics,"Local, regional, national and international exercise of power, or struggle for power, and the relationships between governing bodies and states. "
subj:11001000,2,defence,Anything involving the defence of one's own country 
subj:11001001,3,veterans affairs,Care and provision for those who served in the military 
subj:11001002,3,national security,"The philosophy of securing a nation and its borders, as well as the well being of its citizens "
subj:11001003,3,security measures,"Means of making a nation, a state, a building or a person secure from harm and outside interference. "
subj:11001004,3,armed Forces,"Those employed by a government to conduct war, or to enforce the security of a nation "
subj:11001005,3,military equipment,Equipment issued to members of the armed forces 
subj:11001006,3,firearms,Anything that uses an explosive in a directed manner to propel an object that can maim or kill 
subj:11001007,3,biological and chemical weapons,"Devices using biological agents, or chemical mixtures to disable, maim or kill an opponent "
subj:11001008,3,missile systems,"Anything that propels an inert, explosive, biological or chemical object through the air with the aim of disabling, maiming or killing an opponent. "
subj:11001009,3,nuclear weapons,"Weapons that use controlled radioactivity from the decay of certain elements to disable, maim or kill an opponent "
subj:11002000,2,diplomacy,The use of verbal and written skills for persuading others to your point of view 
subj:11002001,3,summit,"Includes meetings of leaders, foreign and finance ministers from the Group of Eight major nations and Group of Seven industrialized nations. "
subj:11002002,3,international relations,"Non-violent relations between nations through negotiation, treaty, or personal meetings "
subj:11002003,3,peace negotiations,Negotiations intended to bring an end to a conflict 
subj:11002004,3,alliances,Coalitions of like-minded groups formed to present a stronger force against any challenges 
subj:11003000,2,election,The selection of representatives by the casting of votes 
subj:11003001,3,political candidates,Individuals who are chosen to stand for office 
subj:11003002,3,political campaigns,Campaigns for public office 
subj:11003003,3,campaign finance,The money that makes campaigns for public office possible 
subj:11003004,3,national elections,Choosing individuals for government at a national level 
subj:11003005,3,regional elections,Choosing individuals for government at a regional level 
subj:11003006,3,local elections,"Choosing individuals for government at the basic level, whether city, village or county "
subj:11003007,3,voting,The act of selecting an individual you would like to represent your interests in government 
subj:11003008,3,poll,Periodic measurement of a political candidate's standing with the public 
subj:11003009,3,european elections,"Choosing individuals for a body which is at a higher level than national government, e.g. European parliament "
subj:11003010,3,primary,Preliminary elections on a local or regional basis leading up to a regional or national election 
subj:11004000,2,espionage and intelligence,Covert collection of information 
subj:11005000,2,foreign aid,Help provided by one nation to another 
subj:11005001,3,economic sanction,"Punitive actions taken by one country against another including trade restrictions, embargoes etc. "
subj:11006000,2,government,The system for ruling a country 
subj:11006001,3,civil and public service,"The paid service by civilians for the government, and the often non-paid service of individuals for the benefit of others (public service) "
subj:11006002,3,safety of citizens,Government policies to protect the well being of its citizens 
subj:11006003,3,think tank,"Group that undertakes political research and issue position papers, recommendations etc "
subj:11006004,3,national government,The ruling body of a nation 
subj:11006005,3,executive (government),That portion of a ruling body involving the overall operation of government 
subj:11006006,3,heads of state,"Symbolic or actual chief representative of a nation, such as royalty, or president or emir, for example "
subj:11006007,3,government departments,"Divisions of a government that concentrate on specific areas such as health, welfare, economy or war "
subj:11006008,3,public officials,"Individuals, usually elected, who are in public service or commonly in the public eye. "
subj:11006009,3,ministers (government),"Heads of various government departments at one level, also known as secretaries. At another level they form a legislative body. The chief minister is either prime minister or premier. "
subj:11006010,3,public employees,People employed by a government at all levels 
subj:11006011,3,privatisation,The privatisation of state-owned companies or property 
subj:11006012,3,nationalisation,State takeover of private companies or property 
subj:11006013,3,impeachment,The process of bringing a public official before a tribunal to answer charges of wrongdoing 
subj:11007000,2,human rights,Rights entitled to be enjoyed by all citizens universally 
subj:11008000,2,local authority,"Authorities at city, county state or borough level "
subj:11009000,2,parliament,The collective body of elected officials representing the people 
subj:11009001,3,upper house,Senior chamber of a legislative body 
subj:11009002,3,lower house,The lower chamber of a legislative body 
subj:11010000,2,parties and movements,Covers both formally recognized and informal political associations 
subj:11010001,3,non government organizations (NGO),"Groups officially outside of government that lobby, demonstrate or campaign on a wide range of issues such as economics, environment healthcare etc. "
subj:11011000,2,refugee,A person seeking shelter in another country because of some fear of persecution in his own country 
subj:11012000,2,regional authority,"Government bodies at levels encompassing more than one jurisdiction, e.g. the Delaware River Basin Commission "
subj:11013000,2,state budget and tax,The national budget as promulgated by the government 
subj:11013001,3,public finance,The money of government used for paying for public programs and services and public debt 
subj:11015000,2,constitution,Usually a written document setting forth the operations of a government and the rights of the citizens therein 
subj:11016000,2,interior policy,Government policies affecting internal affairs of a country 
subj:11016001,3,data protection,"Efforts to protect personal information in either written, oral or electronic form "
subj:11016002,3,housing and urban planning,Systematic planning of urban and suburban areas and the housing within those areas 
subj:11016003,3,pension and welfare,"Government policies affecting the well being of its citizens through unemployment benefits, state pensions and other similar payments "
subj:11016006,3,personal data collection,"The collection, by government or other entities of information on individuals "
subj:11016007,3,planning inquiries,"Public hearings or planning inquiries on proposed constructions, e.g. Construction of water driven power station in a National Park. "
subj:11017000,2,migration,Movement of one body of persons from one place to another 
subj:11018000,2,citizens initiative and recall,"Political suggestions by non-government officials for corrective action, or for changes in existing rules and regulations "
subj:11019000,2,referenda,"Political proposals, laws and actions suggested by non-government officials to be voted on by the entire voting body "
subj:11020000,2,nuclear policy,Government policies as regards to use of nuclear fuels for power production or weapons 
subj:11021000,2,lobbying,"The attempt by non-government bodies and individual to affect the outcome of legislation through verbal, or other, persuasion "
subj:11022000,2,regulatory policy and organisation,"The rules and bodies, both national and international, that govern conflict of interest and good practice regulations. "
subj:11023000,2,censorship,"Attempts by any group to control freedoms of speech, religion, and ideas distributed in print, graphics, cyberspace and other ways. Does not include official standards such as cinema ratings, advertising and broadcast standards. "
subj:11024000,2,politics (general),"The art or science of participating in the affairs of government, a state of political party "
subj:11024001,3,political systems,Systems designed to provide order to government 
subj:11024002,3,democracy,"Government in which the people hold the power either directly, or through elected officials. "
subj:11024003,3,political development,The creation and rise of political systems and the history of the people and nations that are associated with those systems. 
subj:11025000,2,freedom of the press,"Mass media rights and freedoms, pressure and intimidation of the journalists, censorship in mass media, activities of government bodies, journalistic associations and/or organizations and other NGOs in regards to press freedom "
subj:11026000,2,freedom of religion,"Religious rights and freedoms, pressure and intimidation of the believers, censorship in mass media, activities of government bodies, journalistic associations and/or organizations and other NGOs in regards to freedom of belief and practice "
subj:11027000,2,treaty,A treaty (as defined by the Vienna Convention on the Law of Treaties) is a written agreement between international entities that is binding under international law. 
subj:11028000,2,international organisation,"Includes organisations with members and functions that cross international borders, and may include intergovernmental organisations of sovereign nations. "
subj:12000000,1,religion and belief,"All aspects of human existence involving theology, philosophy, ethics and spirituality. "
subj:12001000,2,cult and sect,"Offshoots of established religious bodies, or small narrow-focused group promulgated by one or two individuals "
subj:12002000,2,belief (faith),The established beliefs of an individuals religion 
subj:12002002,3,scientology,"Believe that man is a spiritual being endowed with abilities well beyond those which he normally envisages; he's able to solve his own problems, accomplish his goals and gain lasting happiness. "
subj:12003000,2,freemasonry,"A secret international society based on the principles of brotherhood, charity and mutual aid "
subj:12006000,2,values,Personal levels of social behaviour 
subj:12006001,3,ethics,A system of beliefs about acceptable behaviour 
subj:12006002,3,corrupt practices,Any action which is harmful to others 
subj:12007000,2,church and state relations,The legal and social division between religious institutions and the affairs of state 
subj:12008000,2,philosophy,Different thoughts about the way the world works 
subj:12009000,2,christianity,Those that use Jesus Christ and his teachings as their centre of belief 
subj:12009001,3,protestant,General term for christian churches and religious communities which developed through the reformation in the 16th century 
subj:12009010,3,roman catholic,Biggest christian church worldwide tracing its origins back to Jesus Christ 
subj:12009012,3,orthodoxy,"Eastern rite churches which are characterised by their continuity with the apostolic church, their liturgy and their territorial churches, mainly in eastern and south-eastern Europe and the Middle East "
subj:12010000,2,islam,Those who use Allah and his teachings as their centre of belief 
subj:12011000,2,judaism,"A group believing in one god, basing their beliefs on written scriptures and the Talmud, including the first coming of the Messiah "
subj:12012000,2,buddhism,A major Asian religion founded by Buddha in the 6th century BC in India and preaching that right thinking and self denial will lead to a divine state without desire 
subj:12013000,2,hinduism,"A religious and social system, believing in a caste system with the Brahmans the highest and untouchables the lowest. "
subj:12014000,2,religious festival or holiday,Holy day or day of observance in a religion which sometimes is a public holiday as well 
subj:12014001,3,christmas,Christian festival in commemorating the birth of Jesus Christ 
subj:12014002,3,easter,Christian festival in commemorating the resurrection of Jesus Christ 
subj:12014004,3,ramadan,Holy month of fasting in Islam 
subj:12014005,3,yom kippur,"Most solemn of Jewish religious holidays, observed on the 10th day of the lunar month of tishri (in the course of September and October, when Jews seek reconciliation with god "
subj:12015000,2,religious leader,"Person or persons who have a ritual, juridical or otherwise leading role in their respective church or religion "
subj:12015001,3,pope,Head of the roman catholic church worldwide 
subj:12016000,2,nature religion,"Worship of natural elements like fire, water, trees, mountains "
subj:12017000,2,taoism,Indigenous religio-philosophical tradition that has shaped Chinese life for more than 2000 years 
subj:12018000,2,shintoism,Indigenous religious beliefs and practices of Japan. The word Shinto came into use in order to distinguish indigenous Japanese beliefs from Buddhism. 
subj:12019000,2,sikhism,"The religion of an Indian group, combining Hindu and Islamic elements, founded in the Punjab (or Panjab) in the late 15th century AD by Guru Nanak. "
subj:12020000,2,jainism,"A religion of India that teaches a path to spiritual purity and enlightenment through a disciplined mode of life founded upon the tradition of ahimsa, non-violence to all living creatures. It began in the 7th-5th century BC. "
subj:12021000,2,parsasm,"A religion in India following the Iranian prophet Zoroaster, mainly in Bombay, but also in Karachi (Pakistan). "
subj:12022000,2,confucianism,"The way of life propagated by Confucius in the 6th-5th century BC and followed by the Chinese people for more than 2000 years. Its influence has extended to Korea, Japan, and Vietnam. "
subj:12023000,2,religious text,Scriptures holy or important for a church or religion 
subj:12023001,3,bible,Sacred scriptures of Christianity consisting of the old and new testament 
subj:12023002,3,qur'an,Holy book of Islam 
subj:12023003,3,torah,Holy scriptures of Judaism 
subj:12024000,2,interreligious dialogue,Any form of communication between religions 
subj:12025000,2,religious event,News regarding a religious event but not a festival or holiday 
subj:12025001,3,catholic convention,A catholic convention 
subj:12025002,3,protestant convention,A protestant convention 
subj:12025004,3,ritual,"Established religious rituals such as mass, baptism, prayer meetings "
subj:12026000,2,concordat,Treaty between the Holy See and another country for the regulation of ecclesiastical affairs in the territory of the latter 
subj:12027000,2,ecumenism,Relations between christian churches 
subj:13000000,1,science and technology,All aspects pertaining to human understanding of nature and the physical world and the development and application of this knowledge 
subj:13001000,2,applied science,"Stories about putting scientific knowledge to practical uses in the fields of the medical sciences, agriculture, domestic sciences as well as trades and crafts "
subj:13001001,3,physics,The study of the properties and changes of matter 
subj:13001002,3,chemistry,The study of the composition and reaction of substances 
subj:13001003,3,cosmology,Study of the organization and structure of the universe 
subj:13001004,3,particle physics,The study of elementary particles and atomic nuclei through the use of high-energy particles 
subj:13002000,2,engineering,"Stories about putting scientific knowledge to practical uses in the fields of civil, electrical, mechanical and chemical engineering "
subj:13002001,3,material science,The study of materials used in manufacturing 
subj:13003000,2,human science,"Sociology, psychology, anthropology and political science "
subj:13003001,3,social sciences,"The study of people living in groups, as families, tribes and communities "
subj:13003002,3,history,The study of human events of the past 
subj:13003003,3,psychology,The study of the human mind and mental and emotional processes 
subj:13003004,3,sociology,"The study of human social relations, organization and change "
subj:13003005,3,anthropology,The study of human beings in groups or societies 
subj:13004000,2,natural science,"Astronomy, astrophysics, physics, chemistry, earth sciences, palaeontology, biological sciences, botany and zoology, as well as mathematics "
subj:13004001,3,geology,The study of Earth's physical processes 
subj:13004002,3,paleontology,The study of ancient animals 
subj:13004003,3,geography,The study of the surface of Earth and its political divisions 
subj:13004004,3,botany,The study of plants 
subj:13004005,3,zoology,The study of animals 
subj:13004006,3,physiology,The study of vital processes of living organisms 
subj:13004007,3,astronomy,The study of the stars and planets 
subj:13004008,3,biology,The study of living organisms 
subj:13005000,2,philosophical science,"Philosophy, logic and ethics, among others "
subj:13006000,2,research,"Methodical investigation of events, procedures etc to explain why they occur, or to find solutions for problems "
subj:13006001,3,survey,"Examination of public attitudes on various subjects or issues, such as the quality of goods, the value of services etc. "
subj:13007000,2,scientific exploration,"Methodical land, sea and space journeys to discover new information about them "
subj:13008000,2,space programme,The government's organized effort for the exploration of outer space and the bodies therein 
subj:13009000,2,science (general),"Establishing and systematizing information about nature and the physical world through observation, experimentation and hypothesis "
subj:13010000,2,technology (general),"The study of the practical or industrial arts, and applied sciences such as physics, hydrodynamics and thermodynamics "
subj:13010001,3,rocketry,The development of rockets 
subj:13010002,3,laser,The development and use of light amplification by stimulated emission of radiation 
subj:13011000,2,standards,"The rules, national and international, that govern science and technology. These might include international standards setting for equipment and interference standards. "
subj:13012000,2,animal science,Science involving animals 
subj:13013000,2,micro science,The multi-disciplinary areas of nanotechnology and Micro-Electrical Mechanical Systems. 
subj:13014000,2,marine science,"The multi-disciplinary research areas involving the worlds' waterways and oceans. This could include hyper-spectral sensing of ice flows, fisheries studies and underwater research. "
subj:13015000,2,weather science,All scientific aspects of the weather and climate. 
subj:13016000,2,electronics,"The branch of engineering or physics concerned with the controlled flow of electrons or other carriers of electric charges, especially in semiconductor devices, including the design, manufacture, and maintenance of electronic devices "
subj:13017000,2,identification technology,"Includes biometrics, new computer-based identification cards, retinal scans, face scanning and mobile augmented reality systems (MARS) and other ways technology can identify individuals. Also technology vs. the privacy of personal information. "
subj:13018000,2,mathematics,The study of quantities and shapes and their symbolic relationships. 
subj:13019000,2,biotechnology,"Manipulating natural organisms for scientific, medical or agricultural purposes "
subj:13020000,2,agricultural research and technology,Pertaining to the growing of crops and management of farm animals 
subj:13021000,2,nanotechnology,Manipulating objects at the molecular scale 
subj:13022000,2,IT/computer sciences,The study and design of computer systems and networks. 
subj:13023000,2,scientific institutions,Institutions that carry out or govern scientific work (e.g. National Academy of Arts and Sciences ) 
subj:14000000,1,social issue,Aspects of the behaviour of humans affecting the quality of life. 
subj:14001000,2,addiction,"The habitual and often uncontrollable use of harmful substances such as alcohol, tobacco and pharmaceuticals or drugs "
subj:14002000,2,charity,Philanthropic giving 
subj:14003000,2,demographics,The study of people and here they live and how they interact 
subj:14003001,3,population and census,Population is the number of people in a geographical region and census is the process of counting them 
subj:14003002,3,immigration,Movement of individuals from one country to the other 
subj:14003003,3,illegal immigrants,Movement of individuals from one country to the other by illicit means 
subj:14003004,3,emigrants,"People who leave their country of origin, their relationship with their country of origin and their association with fellow emigrants "
subj:14004000,2,disabled,"Being incapacitated either physically, emotionally or mentally "
subj:14005000,2,euthanasia (also includes assisted suicide),Voluntary death with the aid of another 
